"id","MaleorPresent","definition","FemaleorPast","Type","DateAdded","Lang","createdAt","updatedAt","createdBy","updatedBy"
"1","ਯੁਜਬੋ","to please","ਆਜ਼ਬਾ","Past / Present","null","null","2022-05-16T01:01:40.251Z","2022-05-16T02:10:12.283Z","{""id"":1,""firstname"":""Jujhar"",""lastname"":""Singh"",""username"":null,""email"":""rahjuj@yahoo.com"",""password"":""$2a$10$K98Em5wE7K08Kdts.7n8Ue44Fw5yoCUSl7yqEQ4ycsyu9LaCb2uLS"",""resetPasswordToken"":null,""registrationToken"":null,""isActive"":true,""blocked"":false,""preferedLanguage"":null,""createdAt"":""2022-05-16T00:10:35.773Z"",""updatedAt"":""2022-05-16T00:10:35.773Z""}","{""id"":1,""firstname"":""Jujhar"",""lastname"":""Singh"",""username"":null,""email"":""rahjuj@yahoo.com"",""password"":""$2a$10$K98Em5wE7K08Kdts.7n8Ue44Fw5yoCUSl7yqEQ4ycsyu9LaCb2uLS"",""resetPasswordToken"":null,""registrationToken"":null,""isActive"":true,""blocked"":false,""preferedLanguage"":null,""createdAt"":""2022-05-16T00:10:35.773Z"",""updatedAt"":""2022-05-16T00:10:35.773Z""}"
"2","ਤਾਜ਼ਾਬਾ","be amazed","ਤਾਜ਼ਾਬੂ","Past / Present","null","null","2022-05-16T01:11:51.629Z","2022-05-16T02:10:01.285Z","{""id"":1,""firstname"":""Jujhar"",""lastname"":""Singh"",""username"":null,""email"":""rahjuj@yahoo.com"",""password"":""$2a$10$K98Em5wE7K08Kdts.7n8Ue44Fw5yoCUSl7yqEQ4ycsyu9LaCb2uLS"",""resetPasswordToken"":null,""registrationToken"":null,""isActive"":true,""blocked"":false,""preferedLanguage"":null,""createdAt"":""2022-05-16T00:10:35.773Z"",""updatedAt"":""2022-05-16T00:10:35.773Z""}","{""id"":1,""firstname"":""Jujhar"",""lastname"":""Singh"",""username"":null,""email"":""rahjuj@yahoo.com"",""password"":""$2a$10$K98Em5wE7K08Kdts.7n8Ue44Fw5yoCUSl7yqEQ4ycsyu9LaCb2uLS"",""resetPasswordToken"":null,""registrationToken"":null,""isActive"":true,""blocked"":false,""preferedLanguage"":null,""createdAt"":""2022-05-16T00:10:35.773Z"",""updatedAt"":""2022-05-16T00:10:35.773Z""}"
"3","ਮੁਦਿਲ","amazing/spectacular","ਮੁਦਿਲੋਨ","Singular / Plural","null","null","2022-05-16T01:15:40.897Z","2022-05-16T02:10:06.824Z","{""id"":1,""firstname"":""Jujhar"",""lastname"":""Singh"",""username"":null,""email"":""rahjuj@yahoo.com"",""password"":""$2a$10$K98Em5wE7K08Kdts.7n8Ue44Fw5yoCUSl7yqEQ4ycsyu9LaCb2uLS"",""resetPasswordToken"":null,""registrationToken"":null,""isActive"":true,""blocked"":false,""preferedLanguage"":null,""createdAt"":""2022-05-16T00:10:35.773Z"",""updatedAt"":""2022-05-16T00:10:35.773Z""}","{""id"":1,""firstname"":""Jujhar"",""lastname"":""Singh"",""username"":null,""email"":""rahjuj@yahoo.com"",""password"":""$2a$10$K98Em5wE7K08Kdts.7n8Ue44Fw5yoCUSl7yqEQ4ycsyu9LaCb2uLS"",""resetPasswordToken"":null,""registrationToken"":null,""isActive"":true,""blocked"":false,""preferedLanguage"":null,""createdAt"":""2022-05-16T00:10:35.773Z"",""updatedAt"":""2022-05-16T00:10:35.773Z""}"
"4","ਅਜਿਾਲਾ","reverence / jaleel - majesty","ਜਲੀਲ","Male / Female","null","null","2022-05-22T23:59:27.468Z","2022-05-22T23:59:27.468Z","{""id"":1,""firstname"":""Jujhar"",""lastname"":""Singh"",""username"":null,""email"":""rahjuj@yahoo.com"",""password"":""$2a$10$K98Em5wE7K08Kdts.7n8Ue44Fw5yoCUSl7yqEQ4ycsyu9LaCb2uLS"",""resetPasswordToken"":null,""registrationToken"":null,""isActive"":true,""blocked"":false,""preferedLanguage"":null,""createdAt"":""2022-05-16T00:10:35.773Z"",""updatedAt"":""2022-05-16T00:10:35.773Z""}","{""id"":1,""firstname"":""Jujhar"",""lastname"":""Singh"",""username"":null,""email"":""rahjuj@yahoo.com"",""password"":""$2a$10$K98Em5wE7K08Kdts.7n8Ue44Fw5yoCUSl7yqEQ4ycsyu9LaCb2uLS"",""resetPasswordToken"":null,""registrationToken"":null,""isActive"":true,""blocked"":false,""preferedLanguage"":null,""createdAt"":""2022-05-16T00:10:35.773Z"",""updatedAt"":""2022-05-16T00:10:35.773Z""}"
"5","ਮੁਕਾਦਿਸ","sacred","ਮੁਕਾਦਿਸੋਲ","Male / Female","null","null","2022-05-23T00:04:02.554Z","2022-05-23T00:04:02.554Z","{""id"":1,""firstname"":""Jujhar"",""lastname"":""Singh"",""username"":null,""email"":""rahjuj@yahoo.com"",""password"":""$2a$10$K98Em5wE7K08Kdts.7n8Ue44Fw5yoCUSl7yqEQ4ycsyu9LaCb2uLS"",""resetPasswordToken"":null,""registrationToken"":null,""isActive"":true,""blocked"":false,""preferedLanguage"":null,""createdAt"":""2022-05-16T00:10:35.773Z"",""updatedAt"":""2022-05-16T00:10:35.773Z""}","{""id"":1,""firstname"":""Jujhar"",""lastname"":""Singh"",""username"":null,""email"":""rahjuj@yahoo.com"",""password"":""$2a$10$K98Em5wE7K08Kdts.7n8Ue44Fw5yoCUSl7yqEQ4ycsyu9LaCb2uLS"",""resetPasswordToken"":null,""registrationToken"":null,""isActive"":true,""blocked"":false,""preferedLanguage"":null,""createdAt"":""2022-05-16T00:10:35.773Z"",""updatedAt"":""2022-05-16T00:10:35.773Z""}"
"6","ਰੀਛ","beard","null","null","2022-06-02T07:00:00.000Z","Persian","2022-06-02T17:23:16.190Z","2022-06-02T17:23:16.190Z","{""id"":1,""firstname"":""Jujhar"",""lastname"":""Singh"",""username"":null,""email"":""rahjuj@yahoo.com"",""password"":""$2a$10$K98Em5wE7K08Kdts.7n8Ue44Fw5yoCUSl7yqEQ4ycsyu9LaCb2uLS"",""resetPasswordToken"":null,""registrationToken"":null,""isActive"":true,""blocked"":false,""preferedLanguage"":null,""createdAt"":""2022-05-16T00:10:35.773Z"",""updatedAt"":""2022-05-16T00:10:35.773Z""}","{""id"":1,""firstname"":""Jujhar"",""lastname"":""Singh"",""username"":null,""email"":""rahjuj@yahoo.com"",""password"":""$2a$10$K98Em5wE7K08Kdts.7n8Ue44Fw5yoCUSl7yqEQ4ycsyu9LaCb2uLS"",""resetPasswordToken"":null,""registrationToken"":null,""isActive"":true,""blocked"":false,""preferedLanguage"":null,""createdAt"":""2022-05-16T00:10:35.773Z"",""updatedAt"":""2022-05-16T00:10:35.773Z""}"
"7","ਰਿਗ","sand","null","null","2022-06-02T07:00:00.000Z","Persian","2022-06-02T17:27:28.610Z","2022-06-02T17:27:41.464Z","{""id"":1,""firstname"":""Jujhar"",""lastname"":""Singh"",""username"":null,""email"":""rahjuj@yahoo.com"",""password"":""$2a$10$K98Em5wE7K08Kdts.7n8Ue44Fw5yoCUSl7yqEQ4ycsyu9LaCb2uLS"",""resetPasswordToken"":null,""registrationToken"":null,""isActive"":true,""blocked"":false,""preferedLanguage"":null,""createdAt"":""2022-05-16T00:10:35.773Z"",""updatedAt"":""2022-05-16T00:10:35.773Z""}","{""id"":1,""firstname"":""Jujhar"",""lastname"":""Singh"",""username"":null,""email"":""rahjuj@yahoo.com"",""password"":""$2a$10$K98Em5wE7K08Kdts.7n8Ue44Fw5yoCUSl7yqEQ4ycsyu9LaCb2uLS"",""resetPasswordToken"":null,""registrationToken"":null,""isActive"":true,""blocked"":false,""preferedLanguage"":null,""createdAt"":""2022-05-16T00:10:35.773Z"",""updatedAt"":""2022-05-16T00:10:35.773Z""}"
"8","ਤਾਮ","food / nourishment","null","null","2022-06-02T07:00:00.000Z","Arabic","2022-06-02T17:35:46.550Z","2022-06-02T18:49:46.106Z","{""id"":1,""firstname"":""Jujhar"",""lastname"":""Singh"",""username"":null,""email"":""rahjuj@yahoo.com"",""password"":""$2a$10$K98Em5wE7K08Kdts.7n8Ue44Fw5yoCUSl7yqEQ4ycsyu9LaCb2uLS"",""resetPasswordToken"":null,""registrationToken"":null,""isActive"":true,""blocked"":false,""preferedLanguage"":null,""createdAt"":""2022-05-16T00:10:35.773Z"",""updatedAt"":""2022-05-16T00:10:35.773Z""}","{""id"":1,""firstname"":""Jujhar"",""lastname"":""Singh"",""username"":null,""email"":""rahjuj@yahoo.com"",""password"":""$2a$10$K98Em5wE7K08Kdts.7n8Ue44Fw5yoCUSl7yqEQ4ycsyu9LaCb2uLS"",""resetPasswordToken"":null,""registrationToken"":null,""isActive"":true,""blocked"":false,""preferedLanguage"":null,""createdAt"":""2022-05-16T00:10:35.773Z"",""updatedAt"":""2022-05-16T00:10:35.773Z""}"
"9","ਰਿਦਾਓਣ","diet / nutrition","null","null","2022-06-02T07:00:00.000Z","Arabic","2022-06-02T17:36:57.808Z","2022-06-02T18:50:01.395Z","{""id"":1,""firstname"":""Jujhar"",""lastname"":""Singh"",""username"":null,""email"":""rahjuj@yahoo.com"",""password"":""$2a$10$K98Em5wE7K08Kdts.7n8Ue44Fw5yoCUSl7yqEQ4ycsyu9LaCb2uLS"",""resetPasswordToken"":null,""registrationToken"":null,""isActive"":true,""blocked"":false,""preferedLanguage"":null,""createdAt"":""2022-05-16T00:10:35.773Z"",""updatedAt"":""2022-05-16T00:10:35.773Z""}","{""id"":1,""firstname"":""Jujhar"",""lastname"":""Singh"",""username"":null,""email"":""rahjuj@yahoo.com"",""password"":""$2a$10$K98Em5wE7K08Kdts.7n8Ue44Fw5yoCUSl7yqEQ4ycsyu9LaCb2uLS"",""resetPasswordToken"":null,""registrationToken"":null,""isActive"":true,""blocked"":false,""preferedLanguage"":null,""createdAt"":""2022-05-16T00:10:35.773Z"",""updatedAt"":""2022-05-16T00:10:35.773Z""}"
"10","ਨਾਰ","fire","null","null","2022-06-02T07:00:00.000Z","Arabic","2022-06-02T18:20:55.648Z","2022-06-02T18:20:55.648Z","{""id"":1,""firstname"":""Jujhar"",""lastname"":""Singh"",""username"":null,""email"":""rahjuj@yahoo.com"",""password"":""$2a$10$K98Em5wE7K08Kdts.7n8Ue44Fw5yoCUSl7yqEQ4ycsyu9LaCb2uLS"",""resetPasswordToken"":null,""registrationToken"":null,""isActive"":true,""blocked"":false,""preferedLanguage"":null,""createdAt"":""2022-05-16T00:10:35.773Z"",""updatedAt"":""2022-05-16T00:10:35.773Z""}","{""id"":1,""firstname"":""Jujhar"",""lastname"":""Singh"",""username"":null,""email"":""rahjuj@yahoo.com"",""password"":""$2a$10$K98Em5wE7K08Kdts.7n8Ue44Fw5yoCUSl7yqEQ4ycsyu9LaCb2uLS"",""resetPasswordToken"":null,""registrationToken"":null,""isActive"":true,""blocked"":false,""preferedLanguage"":null,""createdAt"":""2022-05-16T00:10:35.773Z"",""updatedAt"":""2022-05-16T00:10:35.773Z""}"
